amp,mun_name,New name,logo,Facebook ,Website,amp_name,cwt_name,area,area_name,cwt,mun,mun_tao_n,type,muni_code,reg,reg_name,tam,tam_name,tao,tao_code,tao_name,objectid,SHAPE__Len,SHAPE__Are,globalid,Column 1
9,เทศบาลตำบลพุกร่าง,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWcc2Ru0AWD9iTZnZGmckJbLqtOAGUGuTIdQ&s,https://www.facebook.com/www.phukrang.go.th/?locale=th_TH,https://www.phukrang.go.th/,พระพุทธบาท,สระบุรี,1,ในเขตเทศบาล,19,974,เทศบาลตำบลพุกร่าง,เทศบาลตำบล,191974,2,กลาง,8,พุกร่าง,,,,1351,29292.93057,31796547.63,{66DB575D-E50D-47C8-9C85-04DEB4CBF64E},
1,เทศบาลตำบลพุดซา,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb250n7FpMhZphDRJO5qDVsPh10KnEEsBs8Q&s,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B8%9E%E0%B8%B8%E0%B8%94%E0%B8%8B%E0%B8%B2-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2-100069223863806/?locale=th_TH,http://www.pudsa.go.th/index.php,เมืองนครราชสีมา,นครราชสีมา,1,ในเขตเทศบาล,30,918,เทศบาลตำบลพุดซา,เทศบาลตำบล,301918,6,ตะวันออกเฉียงเหนือ,14,พุดซา,,,,2317,34760.05175,46675545.39,{021C746F-83D3-4B9B-A5A8-C2050F5ACE64},
5,เทศบาลตำบลพุเตย,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYanFg8dLxnX3uG_uQkiXLxT_IE-WAK1VVKg&s,https://www.facebook.com/TessabanPhutoei/?locale=th_TH,https://www.tessabanphutoei.go.th/,วิเชียรบุรี,เพชรบูรณ์,1,ในเขตเทศบาล,67,991,เทศบาลตำบลพุเตย,เทศบาลตำบล,671991,7,เหนือ,7,พุเตย,,,,1202,11206.89639,6524499.698,{F5FEFB12-48BD-4129-9BAD-D1959067CD78},
9,เทศบาลตำบลพุทไธสง,,https://phutthaisongmncp.go.th/admin/modules/setting/logo/1641286966.png,https://www.facebook.com/profile.php?id=100075307479746,https://www.phutthaisongmncp.go.th/,พุทไธสง,บุรีรัมย์,1,ในเขตเทศบาล,31,989,เทศบาลตำบลพุทไธสง,เทศบาลตำบล,311989,6,ตะวันออกเฉียงเหนือ,2,มะเฟือง,,,,662,12498.26639,7173789.887,{971A241A-BB2B-414B-AB2B-1816E456DE74},
6,เทศบาลตำบลพุมเรียง,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi_Z8qxL1xULEzkEjq4e41tH5H79tePYX4kg&s,https://m.facebook.com/p/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B8%9E%E0%B8%B8%E0%B8%A1%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%87-100064411554764/?locale=th_TH,http://www.phumriang.go.th/contactus,ไชยา,สุราษฎร์ธานี,1,ในเขตเทศบาล,84,990,เทศบาลตำบลพุมเรียง,เทศบาลตำบล,841990,3,ใต้,2,พุมเรียง,,,,386,43120.62028,38801551.54,{3BA5FB59-AE6A-470C-99BA-275C5609FB77},
5,เทศบาลตำบลเพชรพะงัน,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6lWMQiDH4dRQKzmi6w7rpj1yTSUtOePwYAg&s,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%9E%E0%B8%B0%E0%B8%87%E0%B8%B1%E0%B8%99-100068835805650/?locale=th_TH,https://phetphangan.go.th/,เกาะพะงัน,สุราษฎร์ธานี,1,ในเขตเทศบาล,84,965,เทศบาลตำบลเพชรพะงัน,เทศบาลตำบล,841965,3,ใต้,1,เกาะพะงัน,,,,421,40868.62884,52561366.32,{ABA9B9A8-F4ED-4192-973D-B62A61E35CFB},
5,เทศบาลตำบลเพชรเมืองทอง,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWDFkDVc-qy8uOF8OGo20LtLg4x3Ikamuv5A&s,https://www.facebook.com/phetmuangthong/?locale=th_TH,https://phetmuengthong.go.th/,แสวงหา,อ่างทอง,1,ในเขตเทศบาล,15,979,เทศบาลตำบลเพชรเมืองทอง,เทศบาลตำบล,151979,2,กลาง,1,แสวงหา,,,,1785,34139.07547,31199405.5,{43B3C6BA-D968-421C-9CDC-D7BD74A18A28},
19,เทศบาลตำบลเพ็ญ,,https://itas.nacc.go.th/file/download/221045,https://www.facebook.com/Phencity/?locale=th_TH,http://phencity.go.th/,เพ็ญ,อุดรธานี,1,ในเขตเทศบาล,41,971,เทศบาลตำบลเพ็ญ,เทศบาลตำบล,411971,6,ตะวันออกเฉียงเหนือ,1,เพ็ญ,,,,123,7805.280103,2041668.835,{7277A69B-CCD7-4761-ADA4-3A96571D2BAA},
9,เทศบาลตำบลแพด,,https://www.tessabalpad.go.th/index/add_file/Rc5wqctTue115111.png,https://www.facebook.com/p/%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%81%E0%B8%9E%E0%B8%94-%E0%B8%AD%E0%B8%B3%E0%B9%80%E0%B8%A0%E0%B8%AD%E0%B8%84%E0%B8%B3%E0%B8%95%E0%B8%B2%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2-%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%81%E0%B8%A5%E0%B8%99%E0%B8%84%E0%B8%A3-100069072615016/?locale=th_TH,https://www.tessabalpad.go.th/,คำตากล้า,สกลนคร,1,ในเขตเทศบาล,47,961,เทศบาลตำบลแพด,เทศบาลตำบล,471961,6,ตะวันออกเฉียงเหนือ,4,แพด,,,,549,57378.44249,103009053.4,{C92F8D68-F6CA-4120-B552-BB72B8BF0CDD},
5,เทศบาลตำบลแพรกศรีราชา,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOluTHievAMGc5Ibq7l_7Bzxmr8rsyeEUW3A&s,https://m.facebook.com/100067187486211/,https://www.phraeksriracha.go.th/,สรรคบุรี,ชัยนาท,1,ในเขตเทศบาล,18,993,เทศบาลตำบลแพรกศรีราชา,เทศบาลตำบล,181993,2,กลาง,1,แพรกศรีราชา,,,,324,6129.799032,1817053.695,{943DC6E0-6527-4373-B9E2-4C590BDE5533},
