muni_code,mun_name,logo_url
101000,กรุงเทพมหานคร,https://upload.wikimedia.org/wikipedia/commons/7/7b/Seal_of_Bangkok_Metro_Authority.png
451957,เทศบาลตำบลกกกุง,https://kokkung.go.th/UserFiles/Image/2022/tsb.gif
331983,เทศบาลตำบลกระหวัน,https://krawan.go.th/UserFiles/LOGO_5_.png
771992,เทศบาลตำบลกำเนิดนพคุณ,https://noppakoonmunic.go.th/public/layout/template/images/logotop.png
351997,เทศบาลตำบลกุดชุมพัฒนา,https://www.kutchumpattana.go.th/upload/images/logo.png
441987,เทศบาลตำบลขามเรียง,https://www.khamriang.go.th/upload/images/logo.png
201960,เทศบาลตำบลเขตรอุดมศักดิ์,https://www.sattahip.go.th/images_profiles/logo.png
311944,เทศบาลตำบลเขาคอก,https://khaokoklocal.go.th/wp-content/uploads/2022/11/%E0%B9%82%E0%B8%A5%E0%B9%82%E0%B8%81%E0%B9%89.png
721978,เทศบาลตำบลเขาดิน,https://khaodin.go.th/UserFiles/logotop_1_.png
811996,เทศบาลตำบลคลองท่อมใต้,https://www.khlongthomcity.go.th/public//UserFiles/logo.png
421971,เทศบาลตำบลคอนสา,https://khonsa.go.th/public/configuration_upload/config/logoweb_thumbnail.jpg
341972,เทศบาลตำบลคอแลน,https://kholaen.go.th/UserFiles/logo2.png
491996,เทศบาลตำบลคำชะอี,https://khamcha-e.go.th/UserFiles/logo_khamcha_e.png
451958,เทศบาลตำบลคูเมือง,https://www.krumueang-roiet.go.th/images/logo.png
371976,เทศบาลตำบลเค็งใหญ่,https://keangyai.go.th/UserFiles/logo%20-%20Copy%201.png
401944,เทศบาลตำบลโคกงาม,https://khokngam.go.th/public/layout/template/images/logo/LOGO.png
941997,เทศบาลตำบลโคกโพธิ์,https://khokpho.go.th/public/configuration_upload/config/logoweb_thumbnail.jpg
401952,เทศบาลตำบลโคกสำราญ,https://www.koksumran.go.th/frontend/userfiles/files/%E0%B9%82%E0%B8%A5%E0%B9%82%E0%B8%81%E0%B9%89%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%95%E0%B8%B3%E0%B8%9A%E0%B8%A5%E0%B9%82%E0%B8%84%E0%B8%81%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B2%E0%B8%8D.jpg
411953,เทศบาลตำบลโคกสูง,https://scontent.fcnx3-1.fna.fbcdn.net/v/t39.30808-6/462318261_8388407387922470_2342111774493121130_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=6ee11a&_nc_eui2=AeFZYnxy7zrLUnCbiPdI2rj7Urx5o7QgyqdSvHmjtCDKp0ttGkSxLNGyx53us26Iink&_nc_ohc=5Voi414WvA0Q7kNvgFFYIbV&_nc_oc=AdmwSsMHB-XPuPrUUmCeDBrAM98ZDEE-Key2K_h0W6VP94htVBiivfmnQF3kr9ju6aw&_nc_zt=23&_nc_ht=scontent.fcnx3-1.fna&_nc_gid=CqC8sXHJ4SqnYnmkQVJZ8w&oh=00_AYEt7V9KICDxFecWbEfI6x7RF63LYltX9wHdDDR8mzLaHQ&oe=67EFFBDFF
801989,เทศบาลตำบลฉวาง,https://www.chawangcity.go.th/UserFiles/Image/2021/logo.png
461929,เทศบาลตำบลดงมูล,https://dongmoon.go.th/UserFiles/LOGO%20-%20Copy%201.png
451961,เทศบาลตำบลดงสิงห์,https://dongsing.go.th/UserFiles/LOGO_%E0%B8%94%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C.png
741988,เทศบาลตำบลดอนไก่ดี,https://donkaidee.go.th/UserFiles/7845.png
801953,เทศบาลตำบลดอนตรอ,https://www.dontro.go.th/UserFiles/Image/dontromunicipality.jpg
491997,เทศบาลตำบลดอนตาล,https://dontancity.go.th/public/configuration_upload/config/logoweb.jpg
701970,เทศบาลตำบลดอนทราย,https://www.donsaicity.go.th/UserFiles/%E0%B9%82%E0%B8%A5%E0%B9%82%E0%B8%81%E0%B9%89.png
301982,เทศบาลตำบลด่านขุนทด,https://dankhunthot.go.th/UserFiles/LOGO.png
